indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,peso,distancia,tiempo(min),peajes(euros),gasolina(euros),costo_vendedor(euros)
51,94,Châlons-en-Champagne,Créteil,69.898667,182.0,116.0,16.5,30.16,23.238667
52,55,Chaumont,Bar-le-Duc,37.287,96.0,81.0,0.0,21.06,16.227
52,70,Chaumont,Vesoul,44.652333,111.0,97.0,0.0,25.22,19.432333
52,88,Chaumont,Épinal,49.793667,126.0,101.0,3.3,26.26,20.233667
53,61,Laval,Alençon,49.687,127.0,81.0,12.4,21.06,16.227
53,72,Laval,Le Mans,39.282,86.0,66.0,8.9,17.16,13.222
54,55,Nancy,Bar-le-Duc,33.604333,84.0,73.0,0.0,18.98,14.624333
54,57,Nancy,Metz,21.635667,56.0,47.0,0.0,12.22,9.415667
54,67,Nancy,Strasbourg,57.859,157.0,117.0,4.0,30.42,23.439
54,88,Nancy,Épinal,29.001,74.0,63.0,0.0,16.38,12.621
55,57,Bar-le-Duc,Metz,48.690333,125.0,91.0,6.8,23.66,18.230333
57,67,Metz,Strasbourg,60.773,163.0,99.0,15.2,25.74,19.833
57,88,Metz,Épinal,42.811,134.0,93.0,0.0,24.18,18.631
58,89,Nevers,Auxerre,49.716,110.0,108.0,0.0,28.08,21.636
59,62,Lille,Arras,22.096,54.0,48.0,0.0,12.48,9.616
60,76,Beauvais,Rouen,42.350667,81.0,92.0,0.0,23.92,18.430667
60,80,Beauvais,Amiens,28.377,62.0,51.0,4.9,13.26,10.217
60,95,Beauvais,Cergy,28.697667,68.0,53.0,4.3,13.78,10.617667
61,72,Alençon,Le Mans,27.937333,55.0,52.0,4.0,13.52,10.417333
62,80,Arras,Amiens,41.044,99.0,72.0,7.9,18.72,14.424
63,69,Clermont-Ferrand,Lyon,68.778,166.0,114.0,16.3,29.64,22.838
64,65,Pau,Tarbes,24.096,43.0,48.0,2.0,12.48,9.616
67,68,Strasbourg,Colmar,26.699333,77.0,58.0,0.0,15.08,11.619333
67,88,Strasbourg,Épinal,64.764,158.0,132.0,4.0,34.32,26.444
68,88,Colmar,Épinal,49.716,92.0,108.0,0.0,28.08,21.636
68,90,Colmar,Belfort,28.418333,72.0,55.0,3.1,14.3,11.018333
69,71,Lyon,Mâcon,32.239,72.0,57.0,6.0,14.82,11.419
69,73,Lyon,Chambéry,53.449,104.0,87.0,13.4,22.62,17.429
70,88,Vesoul,Épinal,29.921667,89.0,65.0,0.0,16.9,13.021667
70,90,Vesoul,Belfort,25.318333,70.0,55.0,0.0,14.3,11.018333
71,89,Mâcon,Auxerre,84.105333,233.0,136.0,21.5,35.36,27.245333
73,74,Chambéry,Annecy,27.696,52.0,48.0,5.6,12.48,9.616
75,77,Paris,Melun,28.080333,58.0,61.0,0.0,15.86,12.220333
75,78,Paris,Versailles,21.635667,21.0,47.0,0.0,12.22,9.415667
75,91,Paris,Évry-Courcouronnes,23.937333,35.0,52.0,0.0,13.52,10.417333
75,92,Paris,Nanterre,21.635667,13.0,47.0,0.0,12.22,9.415667
75,93,Paris,Bobigny,17.492667,19.0,38.0,0.0,9.88,7.612667
75,94,Paris,Créteil,11.968667,15.0,26.0,0.0,6.76,5.208667
75,95,Paris,Cergy,27.62,39.0,60.0,0.0,15.6,12.02
76,80,Rouen,Amiens,42.947333,120.0,82.0,5.2,21.32,16.427333
77,89,Melun,Auxerre,48.009333,124.0,88.0,7.5,22.88,17.629333
77,91,Melun,Évry-Courcouronnes,12.429,27.0,27.0,0.0,7.02,5.409
77,94,Melun,Créteil,20.715,37.0,45.0,0.0,11.7,9.015
78,91,Versailles,Évry-Courcouronnes,23.477,36.0,51.0,0.0,13.26,10.217
78,92,Versailles,Nanterre,18.108333,14.0,25.0,6.6,6.5,5.008333
78,94,Versailles,Créteil,21.175333,30.0,46.0,0.0,11.96,9.215333
78,95,Versailles,Cergy,29.616667,49.0,50.0,6.6,13.0,10.016667
79,85,Niort,La Roche-sur-Yon,37.683667,92.0,71.0,5.0,18.46,14.223667
79,86,Niort,Poitiers,35.061333,79.0,64.0,5.6,16.64,12.821333
80,95,Amiens,Cergy,48.407667,123.0,83.0,10.2,21.58,16.627667
81,82,Albi,Montauban,29.921667,74.0,65.0,0.0,16.9,13.021667
86,87,Poitiers,Limoges,58.462333,134.0,127.0,0.0,33.02,25.442333
88,90,Épinal,Belfort,36.366333,114.0,79.0,0.0,20.54,15.826333
91,94,Évry-Courcouronnes,Créteil,20.254667,33.0,44.0,0.0,11.44,8.814667
92,93,Nanterre,Bobigny,15.651333,24.0,34.0,0.0,8.84,6.811333
92,95,Nanterre,Cergy,16.111667,36.0,35.0,0.0,9.1,7.011667
93,94,Bobigny,Créteil,15.191,19.0,33.0,0.0,8.58,6.611
