indice_inicio,indice_destino,ciudad_inicio,ciudad_destino,distancia,tiempo(min),peajes(euros),gasolina(euros),
61,72,Alençon,Le Mans,55,52,4,13.52,
62,80,Arras,Amiens,99,72,7.9,18.72,
63,69,Clermont-Ferrand,Lyon,166,114,16.3,29.64,
64,65,Pau,Tarbes,43,48,2,12.48,
67,68,Strasbourg,Colmar,77,58,0,15.08,
67,88,Strasbourg,Épinal,158,132,4,34.32,
68,88,Colmar,Épinal,92,108,0,28.08,
68,90,Colmar,Belfort,72,55,3.1,14.3,
69,71,Lyon,Mâcon,72,57,6,14.82,
69,73,Lyon,Chambéry,104,87,13.4,22.62,
70,88,Vesoul,Épinal,89,65,0,16.9,
70,90,Vesoul,Belfort,70,55,0,14.3,
71,89,Mâcon,Auxerre,233,136,21.5,35.36,
73,74,Chambéry,Annecy,52,48,5.6,12.48,
75,77,Paris,Melun,58,61,0,15.86,
75,78,Paris,Versailles,21,47,0,12.22,
75,91,Paris,Évry-Courcouronnes,35,52,0,13.52,
75,92,Paris,Nanterre,13,47,0,12.22,
75,93,Paris,Bobigny,19,38,0,9.88,
75,94,Paris,Créteil,15,26,0,6.76,
75,95,Paris,Cergy,39,60,0,15.6,
76,80,Rouen,Amiens,120,82,5.2,21.32,
77,89,Melun,Auxerre,124,88,7.5,22.88,
77,91,Melun,Évry-Courcouronnes,27,27,0,7.02,
77,94,Melun,Créteil,37,45,0,11.7,
78,91,Versailles,Évry-Courcouronnes,36,51,0,13.26,
78,92,Versailles,Nanterre,14,25,6.6,6.5,
78,94,Versailles,Créteil,30,46,0,11.96,
78,95,Versailles,Cergy,49,50,6.6,13,
79,85,Niort,La Roche-sur-Yon,92,71,5,18.46,
79,86,Niort,Poitiers,79,64,5.6,16.64,
80,95,Amiens,Cergy,123,83,10.2,21.58,
81,82,Albi,Montauban,74,65,0,16.9,
86,87,Poitiers,Limoges,134,127,0,33.02,
88,90,Épinal,Belfort,114,79,0,20.54,
91,94,Évry-Courcouronnes,Créteil,33,44,0,11.44,
92,93,Nanterre,Bobigny,24,34,0,8.84,
92,95,Nanterre,Cergy,36,35,0,9.1,
93,94,Bobigny,Créteil,19,33,0,8.58,
